game,date,home,opp,rslt,pa,ab,r,h,2b,3b,hr,rbi,bb,ibb,so,hbp,sh,sf,roe,gdp,sb,cs,ba,obp,slg,ops,lob,numplayers,thr,oppstart,clean_date,game_date_id,team
56,Jun 1,True,OAK,"L,9-11",43,39,9,13,4,0,2,8,4,0,4,0,0,0,0,0,0,0,0.25,0.316,0.409,0.725,7,9,R,A.Brooks(21),2024-06-01,1,braves
57,Jun 2,True,OAK,"W,3-1",36,31,3,7,4,0,0,3,5,1,8,0,0,0,0,0,0,0,0.25,0.317,0.408,0.725,9,10,R,L.Medina(67),2024-06-02,1,braves
58,Jun 4,False,BOS,"W,8-3",37,34,8,8,2,0,2,7,2,0,6,1,0,0,2,2,0,1,0.25,0.316,0.409,0.726,2,11,R,K.Crawford(45),2024-06-04,1,braves
59,Jun 5,False,BOS,"L,0-9",30,28,0,1,0,0,0,0,2,0,11,0,0,0,1,1,0,0,0.247,0.313,0.404,0.717,3,12,R,N.Pivetta(82),2024-06-05,1,braves
60,Jun 6,False,WSN,"W,5-2",35,34,5,7,2,0,2,5,0,0,3,1,0,0,0,0,0,0,0.246,0.312,0.405,0.717,3,10,L,M.Parker(65),2024-06-06,1,braves
61,Jun 7,False,WSN,"L,1-2",35,33,1,6,4,0,0,1,2,0,8,0,0,0,0,1,0,0,0.245,0.311,0.403,0.714,7,9,R,J.Irvin(66),2024-06-07,1,braves
62,Jun 8,False,WSN,"L,3-7",35,33,3,7,2,0,1,2,1,0,13,1,0,0,0,1,0,0,0.245,0.31,0.402,0.712,5,9,L,M.Gore(55),2024-06-08,1,braves
63,Jun 9,False,WSN,"L,5-8",40,35,5,8,0,0,1,4,5,0,8,0,0,0,0,0,0,0,0.244,0.31,0.401,0.711,8,9,L,D.Herz(49),2024-06-09,1,braves
64,Jun 11,False,BAL,"L,0-4",38,33,0,5,0,1,0,0,5,0,9,0,0,0,1,0,0,0,0.243,0.31,0.398,0.708,11,11,R,A.Suárez(61),2024-06-11,1,braves
65,Jun 12,False,BAL,"L,2-4",36,35,2,7,0,0,1,2,0,0,8,1,0,0,1,0,1,0,0.242,0.308,0.396,0.704,7,10,L,C.Povich(68),2024-06-12,1,braves
66,Jun 13,False,BAL,"W,6-3",43,41,6,12,5,0,0,5,1,0,10,1,0,0,1,0,0,0,0.243,0.309,0.397,0.705,10,9,L,C.Irvin(44),2024-06-13,1,braves
67,Jun 14,True,TBR,"W,7-3",40,38,7,12,4,0,2,6,1,0,8,1,0,0,2,0,1,0,0.244,0.309,0.4,0.709,9,10,R,Z.Littell(15),2024-06-14,1,braves
68,Jun 15,True,TBR,"W,9-2",39,33,9,11,0,0,4,9,5,0,6,0,0,1,0,0,0,0,0.246,0.311,0.404,0.715,6,9,R,R.Pepiot(33),2024-06-15,1,braves
69,Jun 16,True,TBR,"L,6-8",38,36,6,9,1,0,3,5,2,0,12,0,0,0,1,1,0,0,0.246,0.31,0.406,0.716,5,10,R,Z.Eflin(47),2024-06-16,1,braves
70,Jun 17,True,DET,"W,2-1",30,30,2,7,3,0,1,2,0,0,9,0,0,0,0,0,1,1,0.245,0.31,0.406,0.716,4,10,R,R.Olson(72),2024-06-17,1,braves
71,Jun 18,True,DET,"W,2-1",30,30,2,5,0,1,0,2,0,0,8,0,0,0,2,1,0,0,0.244,0.308,0.404,0.712,4,10,R,C.Mize(47),2024-06-18,1,braves
72,Jun 19,True,DET,"W,7-0",39,35,7,12,2,0,3,6,2,0,12,2,0,0,0,1,1,0,0.246,0.309,0.408,0.717,8,9,L,T.Skubal(35),2024-06-19,1,braves
73,Jun 21,False,NYY,"W,8-1",47,41,8,14,5,0,3,7,5,0,9,1,0,0,0,0,0,0,0.247,0.311,0.412,0.724,12,9,L,C.Rodón(10),2024-06-21,1,braves
74,Jun 22,False,NYY,"L,3-8",32,30,3,4,1,0,2,3,2,0,9,0,0,0,0,1,0,0,0.246,0.31,0.412,0.722,2,9,R,M.Stroman(60),2024-06-22,1,braves
75,Jun 23,False,NYY,"W,3-1",34,32,3,6,1,0,1,3,0,0,12,1,0,1,0,0,0,0,0.245,0.309,0.41,0.719,4,9,L,N.Cortés(62),2024-06-23,1,braves
76,Jun 24,False,STL,"L,3-4",36,31,3,6,0,0,1,3,4,0,10,0,0,1,0,1,3,0,0.245,0.308,0.409,0.717,6,12,R,L.Lynn(67),2024-06-24,1,braves
77,Jun 26 (1),False,STL,"W,6-2",43,36,6,9,0,0,1,6,7,0,6,0,0,0,0,0,1,0,0.245,0.309,0.408,0.717,10,9,R,K.Gibson(37),2024-06-26,1,braves
78,Jun 26 (2),False,STL,"L,1-4",34,32,1,6,1,0,0,1,2,0,11,0,0,0,0,0,0,1,0.244,0.308,0.406,0.714,6,11,L,M.Liberatore(75),2024-06-26,2,braves
79,Jun 27,False,CHW,"L,0-1",34,29,0,3,1,0,0,0,5,0,7,0,0,0,1,2,0,0,0.243,0.308,0.403,0.71,7,12,R,C.Kuhl(58),2024-06-27,1,braves
80,Jun 28,True,PIT,"W,6-1",38,33,6,10,3,0,1,6,4,0,8,1,0,0,0,1,0,0,0.243,0.309,0.404,0.712,8,9,L,M.Pérez(24),2024-06-28,1,braves
81,Jun 29,True,PIT,"W,2-1",35,32,2,7,0,0,1,2,3,0,12,0,0,0,0,2,0,0,0.243,0.308,0.403,0.711,7,11,R,P.Skenes(63),2024-06-29,1,braves
82,Jun 30,True,PIT,"L,2-4",36,30,2,6,2,0,0,1,5,0,9,0,0,1,0,2,0,0,0.243,0.308,0.401,0.71,7,12,L,B.Falter(60),2024-06-30,1,braves
83,Jul 2,True,SFG,"L,3-5",34,31,3,6,2,0,2,3,2,0,9,0,1,0,0,1,1,0,0.242,0.308,0.402,0.709,4,9,R,H.Birdsong(54),2024-07-02,1,braves
84,Jul 3,True,SFG,"W,3-1",35,33,3,10,2,0,0,3,2,0,11,0,0,0,0,0,1,1,0.243,0.308,0.401,0.709,8,9,R,J.Hicks(43),2024-07-03,1,braves
85,Jul 4,True,SFG,"L,2-4",33,31,2,8,2,0,0,1,1,0,9,0,0,1,0,1,0,1,0.243,0.308,0.4,0.708,4,9,R,L.Webb(60),2024-07-04,1,braves
86,Jul 5,True,PHI,"L,6-8",36,35,6,8,1,0,3,6,1,0,11,0,0,0,0,0,0,0,0.243,0.307,0.402,0.709,3,9,R,A.Nola(58),2024-07-05,1,braves
87,Jul 6,True,PHI,"W,5-1",35,31,5,6,2,0,2,5,3,1,12,1,0,0,1,0,0,0,0.242,0.307,0.402,0.709,6,9,L,R.Suárez(40),2024-07-06,1,braves
88,Jul 7,True,PHI,"W,6-0",36,33,6,9,2,0,4,6,3,0,10,0,0,0,0,0,1,0,0.243,0.307,0.406,0.713,6,9,R,M.Mercado(23),2024-07-07,1,braves
89,Jul 8,False,ARI,"W,5-4",43,39,5,8,0,0,2,5,2,0,11,0,0,2,0,0,1,0,0.242,0.306,0.405,0.711,7,12,R,Y.Diaz(64),2024-07-08,1,braves
90,Jul 9,False,ARI,"W,6-2",41,38,6,11,2,1,1,5,3,1,8,0,0,0,1,1,1,0,0.243,0.307,0.406,0.712,8,10,R,Z.Gallen(39),2024-07-09,1,braves
91,Jul 10,False,ARI,"L,5-7",37,34,5,8,4,0,1,5,2,0,9,0,0,1,0,0,0,0,0.243,0.306,0.406,0.712,5,10,R,S.Cecconi(43),2024-07-10,1,braves
92,Jul 11,False,ARI,"L,0-1",33,31,0,5,1,0,0,0,2,0,6,0,0,0,0,1,0,0,0.242,0.305,0.404,0.709,6,12,R,B.Pfaadt(70),2024-07-11,1,braves
93,Jul 12,False,SDP,"W,6-1",35,32,6,9,2,0,3,6,1,0,3,0,1,1,0,2,0,0,0.242,0.305,0.406,0.712,2,10,R,M.Waldron(49),2024-07-12,1,braves
94,Jul 13,False,SDP,"L,0-4",35,32,0,5,1,0,0,0,3,0,14,0,0,0,0,0,0,0,0.241,0.304,0.404,0.709,8,9,R,D.Cease(78),2024-07-13,1,braves
95,Jul 14,False,SDP,"W,6-3",37,35,6,9,1,0,2,6,2,0,10,0,0,0,0,1,2,0,0.241,0.304,0.405,0.709,4,10,R,R.Vásquez(55),2024-07-14,1,braves
96,Jul 20 (1),True,STL,"W,3-2",38,31,3,6,0,0,1,3,4,0,8,0,2,1,0,1,1,0,0.241,0.304,0.404,0.708,7,11,R,K.Gibson(68),2024-07-20,1,braves
97,Jul 20 (2),True,STL,"L,5-9",35,35,5,9,1,1,4,5,0,0,12,0,0,0,0,1,0,0,0.241,0.304,0.407,0.71,3,9,R,S.Gray(51),2024-07-20,2,braves
98,Jul 21,True,STL,"L,2-6",35,33,2,9,2,0,1,2,2,0,6,0,0,0,0,3,0,0,0.242,0.304,0.407,0.711,6,10,R,M.Mikolas(52),2024-07-21,1,braves
99,Jul 22,True,CIN,"L,1-4",36,29,1,3,0,0,0,1,5,0,8,1,0,1,0,0,0,0,0.24,0.303,0.404,0.707,8,10,R,H.Greene(77),2024-07-22,1,braves
100,Jul 24 (1),True,CIN,"L,4-9",42,38,4,10,1,0,0,4,3,0,14,0,0,1,1,0,0,0,0.241,0.303,0.403,0.706,11,10,R,F.Montas(30),2024-07-24,1,braves
101,Jul 25,False,NYM,"L,2-3",37,33,2,7,1,0,0,2,3,0,12,0,1,0,0,1,2,2,0.24,0.303,0.401,0.704,6,11,R,L.Severino(49),2024-07-25,1,braves
102,Jul 26,False,NYM,"L,4-8",38,34,4,7,0,0,3,4,2,0,14,2,0,0,0,0,0,0,0.24,0.303,0.402,0.705,7,10,R,K.Senga(64),2024-07-26,1,braves
103,Jul 27,False,NYM,"W,4-0",37,33,4,6,1,0,3,4,3,0,11,1,0,0,0,0,0,0,0.239,0.303,0.403,0.705,6,9,R,T.Megill(48),2024-07-27,1,braves
104,Jul 28,False,NYM,"W,9-2",39,35,9,8,0,0,4,8,3,0,13,1,0,0,0,0,0,0,0.239,0.303,0.404,0.707,3,10,L,D.Peterson(47),2024-07-28,1,braves
105,Jul 29,False,MIL,"L,3-8",33,30,3,4,0,0,3,3,3,0,9,0,0,0,0,1,0,0,0.238,0.302,0.405,0.707,3,10,R,C.Rea(58),2024-07-29,1,braves
106,Jul 30,False,MIL,"W,5-1",43,39,5,14,2,0,1,5,4,0,9,0,0,0,0,2,0,0,0.24,0.303,0.406,0.709,11,10,R,J.Ross(33),2024-07-30,1,braves
107,Jul 31,False,MIL,"W,6-2",40,36,6,8,0,0,4,6,4,0,11,0,0,0,2,1,2,0,0.24,0.303,0.407,0.71,7,11,R,F.Peralta(63),2024-07-31,1,braves
108,Aug 1,True,MIA,"W,4-2",31,30,4,7,1,0,3,4,1,0,9,0,0,0,0,1,0,0,0.239,0.303,0.408,0.711,3,10,R,M.Meyer(43),2024-08-01,1,braves
109,Aug 2,True,MIA,"W,5-3",33,26,5,5,1,1,1,5,5,1,10,0,1,1,0,1,0,0,0.239,0.303,0.409,0.711,4,11,R,V.Bellozo(58),2024-08-02,1,braves
110,Aug 3,True,MIA,"L,3-4",37,32,3,7,0,0,1,3,5,0,10,0,0,0,0,2,0,0,0.239,0.303,0.408,0.711,7,9,R,K.Tyler(34),2024-08-03,1,braves
111,Aug 4,True,MIA,"L,0-7",33,30,0,6,1,0,0,0,3,0,10,0,0,0,0,2,0,0,0.239,0.303,0.406,0.709,6,11,R,E.Cabrera(67),2024-08-04,1,braves
112,Aug 6,True,MIL,"L,0-10",33,31,0,6,2,0,0,0,2,0,10,0,0,0,0,2,0,0,0.238,0.302,0.405,0.707,6,10,R,C.Rea(75),2024-08-06,1,braves
113,Aug 7,True,MIL,"L,5-8",38,34,5,10,3,0,2,5,3,0,15,0,0,1,0,2,0,0,0.239,0.303,0.406,0.709,6,9,R,F.Peralta(39),2024-08-07,1,braves
114,Aug 8,True,MIL,"L,7-16",43,37,7,10,2,0,2,7,6,0,12,0,0,0,1,1,0,0,0.239,0.303,0.407,0.711,9,10,R,F.Montas(49),2024-08-08,1,braves
115,Aug 9,False,COL,"L,5-6",38,37,5,12,2,1,3,5,0,0,10,0,1,0,0,1,0,0,0.24,0.304,0.41,0.713,6,11,R,T.Gordon(54),2024-08-09,1,braves
116,Aug 10,False,COL,"W,11-8",41,36,11,11,1,0,4,11,5,0,7,0,0,0,0,2,1,0,0.241,0.304,0.412,0.717,3,11,R,D.Hudson(29),2024-08-10,1,braves
117,Aug 11,False,COL,"L,8-9",41,37,8,13,2,0,4,8,4,0,6,0,0,0,0,3,0,0,0.242,0.305,0.415,0.721,6,12,L,K.Freeland(41),2024-08-11,1,braves
118,Aug 12,False,SFG,"W,1-0",36,32,1,4,1,0,0,1,3,0,16,0,0,1,0,0,0,1,0.241,0.305,0.413,0.718,6,13,L,B.Snell(77),2024-08-12,1,braves
119,Aug 13,False,SFG,"W,4-3",43,41,4,10,1,0,2,4,2,0,11,0,0,0,1,0,0,0,0.241,0.304,0.413,0.717,10,11,L,K.Harrison(47),2024-08-13,1,braves
120,Aug 14,False,SFG,"W,13-2",46,37,13,11,1,0,4,13,7,0,7,2,0,0,0,1,0,0,0.241,0.306,0.415,0.721,6,10,L,R.Ray(29),2024-08-14,1,braves
121,Aug 15,False,SFG,"L,0-6",31,30,0,4,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0.24,0.305,0.413,0.718,4,9,R,L.Webb(77),2024-08-15,1,braves
122,Aug 16,False,LAA,"L,2-3",40,32,2,8,0,0,0,2,7,0,9,1,0,0,0,3,0,0,0.24,0.305,0.412,0.717,11,11,R,J.Soriano(48),2024-08-16,1,braves
123,Aug 17,False,LAA,"W,11-3",43,38,11,12,3,0,3,10,4,0,7,1,0,0,0,1,1,0,0.241,0.306,0.414,0.72,5,11,R,G.Canning(21),2024-08-17,1,braves
124,Aug 18,False,LAA,"W,3-1",38,30,3,8,1,0,1,3,4,2,4,2,1,1,0,3,1,0,0.241,0.307,0.414,0.721,8,10,R,J.Kochanowicz(47),2024-08-18,1,braves
125,Aug 20,True,PHI,"W,3-1",36,31,3,7,2,1,1,3,5,0,12,0,0,0,0,0,0,0,0.241,0.307,0.414,0.721,9,11,R,Z.Wheeler(60),2024-08-20,1,braves
126,Aug 21,True,PHI,"L,2-3",38,35,2,9,0,0,1,2,3,0,7,0,0,0,0,1,0,0,0.241,0.307,0.413,0.721,9,11,R,A.Nola(47),2024-08-21,1,braves
127,Aug 22,True,PHI,"W,3-2",34,33,3,10,2,0,1,3,1,0,11,0,0,0,0,1,0,0,0.242,0.307,0.414,0.721,7,10,L,C.Sánchez(49),2024-08-22,1,braves
128,Aug 23,True,WSN,"W,3-2",37,36,3,8,3,0,1,2,0,0,7,0,0,1,1,1,1,0,0.242,0.307,0.414,0.72,6,11,L,M.Gore(58),2024-08-23,1,braves
129,Aug 24,True,WSN,"W,4-2",36,33,4,11,1,0,2,4,3,0,7,0,0,0,0,2,0,0,0.242,0.307,0.415,0.722,8,11,R,J.Irvin(50),2024-08-24,1,braves
130,Aug 25,True,WSN,"L,1-5",36,31,1,4,0,0,1,1,4,0,12,1,0,0,0,0,0,0,0.242,0.307,0.413,0.72,8,10,L,D.Herz(70),2024-08-25,1,braves
131,Aug 26,False,MIN,"W,10-6",43,39,10,13,4,0,2,9,4,0,10,0,0,0,0,0,0,0,0.242,0.308,0.415,0.722,6,10,R,B.Ober(6),2024-08-26,1,braves
132,Aug 27,False,MIN,"W,8-6",46,41,8,11,3,0,1,8,5,0,6,0,0,0,0,1,2,0,0.243,0.308,0.415,0.723,9,11,R,S.Woods Richardson(42),2024-08-27,1,braves
133,Aug 28,False,MIN,"W,5-1",37,35,5,8,3,0,1,5,2,0,12,0,0,0,0,0,0,0,0.242,0.308,0.415,0.722,5,10,R,D.Festa(66),2024-08-28,1,braves
134,Aug 29,False,PHI,"L,4-5",37,34,4,7,2,0,2,4,1,0,13,1,1,0,1,0,0,0,0.242,0.307,0.415,0.722,6,12,L,C.Sánchez(50),2024-08-29,1,braves
135,Aug 30,False,PHI,"W,7-2",39,35,7,9,3,0,3,7,4,0,10,0,0,0,0,0,0,0,0.242,0.307,0.416,0.724,5,10,L,R.Suárez(41),2024-08-30,1,braves
136,Aug 31,False,PHI,"L,0-3",34,34,0,6,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0.242,0.307,0.415,0.721,7,9,R,Z.Wheeler(76),2024-08-31,1,braves
137,Sep 1,False,PHI,"L,2-3",42,38,2,6,0,0,1,2,4,0,14,0,0,0,0,1,0,0,0.241,0.306,0.413,0.719,9,13,R,A.Nola(64),2024-09-01,1,braves
138,Sep 3,True,COL,"W,3-0",35,28,3,7,1,0,0,2,5,0,6,1,0,1,0,1,2,1,0.241,0.306,0.412,0.719,8,11,L,K.Freeland(54),2024-09-03,1,braves
139,Sep 4,True,COL,"W,5-2",39,30,5,7,3,0,1,5,8,0,6,1,0,0,0,0,2,1,0.241,0.307,0.412,0.72,10,10,R,B.Blalock(39),2024-09-04,1,braves
140,Sep 5,True,COL,"L,1-3",31,31,1,5,1,0,0,1,0,0,8,0,0,0,0,1,0,0,0.241,0.306,0.411,0.717,3,9,L,A.Gomber(74),2024-09-05,1,braves
141,Sep 6,True,TOR,"W,3-1",33,30,3,7,1,0,0,3,3,0,8,0,0,0,0,0,1,1,0.241,0.306,0.41,0.716,6,11,R,K.Gausman(50),2024-09-06,1,braves
142,Sep 7,True,TOR,"L,5-9",38,35,5,10,2,0,0,4,3,0,7,0,0,0,0,1,1,0,0.241,0.307,0.41,0.716,6,9,R,J.Berríos(62),2024-09-07,1,braves
143,Sep 8,True,TOR,"W,4-3",41,37,4,8,0,0,1,3,3,2,7,0,0,1,1,2,0,0,0.241,0.306,0.409,0.715,9,13,R,Y.Rodríguez(64),2024-09-08,1,braves
144,Sep 9,True,CIN,"L,0-1",30,29,0,2,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0.24,0.305,0.407,0.712,3,9,R,N.Martinez(77),2024-09-09,1,braves
145,Sep 10,False,WSN,"W,12-0",49,42,12,15,3,0,4,12,4,0,8,2,0,0,1,1,1,0,0.241,0.306,0.409,0.716,10,11,L,M.Gore(31),2024-09-10,1,braves
146,Sep 11,False,WSN,"L,1-5",34,33,1,6,3,0,0,1,1,0,8,0,0,0,1,1,0,0,0.24,0.306,0.408,0.714,6,9,R,J.Irvin(68),2024-09-11,1,braves
147,Sep 13,True,LAD,"W,6-2",38,34,6,10,2,0,2,6,4,0,6,0,0,0,0,0,0,0,0.241,0.306,0.409,0.715,8,10,R,L.Knack(22),2024-09-13,1,braves
148,Sep 14,True,LAD,"W,10-1",40,32,10,10,7,0,0,10,6,0,6,0,0,2,0,0,0,0,0.241,0.307,0.41,0.717,6,12,R,J.Flaherty(33),2024-09-14,1,braves
149,Sep 15,True,LAD,"L,2-9",37,30,2,4,1,0,0,2,6,0,8,0,0,0,0,1,0,0,0.241,0.307,0.409,0.715,8,10,R,W.Buehler(60),2024-09-15,1,braves
150,Sep 16,True,LAD,"L,0-9",34,30,0,4,2,1,0,0,4,0,5,0,0,0,0,0,1,0,0.24,0.306,0.408,0.714,7,12,R,Y.Yamamoto(55),2024-09-16,1,braves
151,Sep 17,False,CIN,"L,5-6",46,39,5,12,1,0,3,5,6,0,10,1,0,0,0,0,1,0,0.24,0.307,0.409,0.716,14,11,L,B.Williamson(35),2024-09-17,1,braves
152,Sep 18,False,CIN,"W,7-1",38,37,7,11,4,0,2,7,1,0,10,0,0,0,0,0,0,0,0.241,0.307,0.41,0.717,4,10,R,J.Junis(70),2024-09-18,1,braves
153,Sep 19,False,CIN,"W,15-3",48,43,15,18,1,0,6,15,3,0,10,2,0,0,0,2,0,0,0.242,0.309,0.414,0.722,6,12,R,J.Aguiar(24),2024-09-19,1,braves
154,Sep 20,False,MIA,"L,3-4",38,35,3,9,0,0,2,3,2,0,5,0,0,1,2,1,0,1,0.242,0.308,0.414,0.722,8,9,R,V.Bellozo(44),2024-09-20,1,braves
155,Sep 21,False,MIA,"W,6-2",43,41,6,14,1,0,3,6,2,0,11,0,0,0,0,0,0,0,0.243,0.309,0.415,0.724,10,10,R,A.Oller(50),2024-09-21,1,braves
156,Sep 22,False,MIA,"W,5-4",39,36,5,11,1,1,2,5,2,0,9,1,0,0,0,2,0,0,0.244,0.309,0.416,0.725,7,10,R,D.McCaughan(54),2024-09-22,1,braves
157,Sep 24,True,NYM,"W,5-1",35,33,5,10,2,0,2,5,2,0,8,0,0,0,0,1,1,0,0.244,0.309,0.417,0.726,6,10,R,L.Severino(36),2024-09-24,1,braves
1,Mar 28,True,LAA,"W,11-3",41,33,11,10,2,0,2,11,6,0,5,0,0,2,1,0,1,0,0.303,0.39,0.545,0.936,6,11,L,P.Sandoval(27),2024-03-28,1,orioles
2,Mar 30,True,LAA,"W,13-4",41,38,13,14,5,1,2,13,2,0,6,0,0,1,0,0,0,0,0.338,0.39,0.634,1.024,4,12,R,G.Canning(34),2024-03-30,1,orioles
3,Mar 31,True,LAA,"L,1-4",36,30,1,3,0,0,0,1,5,0,9,1,0,0,1,0,0,0,0.267,0.347,0.475,0.823,8,13,L,R.Detmers(63),2024-03-31,1,orioles
4,Apr 1,True,KCR,"W,6-4",35,34,6,9,1,0,2,6,1,0,7,0,0,0,0,0,0,0,0.267,0.333,0.474,0.807,4,11,R,M.Wacha(53),2024-04-01,1,orioles
5,Apr 2,True,KCR,"L,1-4",31,30,1,3,2,0,0,1,1,0,6,0,0,0,0,0,0,0,0.236,0.299,0.418,0.717,3,9,R,A.Marsh(73),2024-04-02,1,orioles
6,Apr 3,True,KCR,"W,4-3",35,29,4,6,2,0,0,4,4,1,9,0,1,1,0,0,0,0,0.232,0.298,0.397,0.695,5,11,L,C.Ragans(76),2024-04-03,1,orioles
7,Apr 5,False,PIT,"W,5-2",40,39,5,12,2,1,3,5,0,0,10,1,0,0,0,0,0,0,0.245,0.302,0.438,0.74,8,10,R,J.Jones(59),2024-04-05,1,orioles
8,Apr 6,False,PIT,"L,4-5",42,37,4,4,2,0,0,4,3,0,6,0,0,2,0,0,3,0,0.226,0.283,0.4,0.683,7,17,L,B.Falter(70),2024-04-06,1,orioles
9,Apr 7,False,PIT,"L,2-3",32,32,2,6,3,0,0,2,0,0,6,0,0,0,0,1,0,0,0.222,0.274,0.387,0.662,3,9,L,M.Gonzales(58),2024-04-07,1,orioles
10,Apr 9,False,BOS,"W,7-1",44,40,7,13,3,0,0,7,3,0,8,0,0,1,1,0,2,0,0.234,0.285,0.389,0.673,10,11,R,B.Bello(53),2024-04-09,1,orioles
11,Apr 10,False,BOS,"W,7-5",43,36,7,9,1,1,1,6,5,0,11,1,0,0,0,0,1,0,0.235,0.292,0.392,0.683,9,10,R,K.Crawford(65),2024-04-10,1,orioles
12,Apr 11,False,BOS,"W,9-4",44,38,9,9,2,0,4,9,6,0,8,0,0,0,1,2,1,0,0.236,0.297,0.411,0.708,6,10,R,G.Whitlock(57),2024-04-11,1,orioles
13,Apr 12,True,MIL,"L,1-11",34,33,1,6,1,0,1,1,1,0,14,0,0,0,0,0,1,0,0.232,0.29,0.403,0.693,6,11,R,F.Peralta(69),2024-04-12,1,orioles
14,Apr 13,True,MIL,"L,5-11",41,38,5,12,0,0,3,5,2,0,10,1,0,0,0,0,1,0,0.238,0.296,0.415,0.711,9,10,L,D.Hall(27),2024-04-13,1,orioles
15,Apr 14,True,MIL,"W,6-4",36,33,6,11,1,0,3,5,2,0,7,1,0,0,0,2,1,0,0.244,0.302,0.429,0.731,6,12,R,C.Rea(52),2024-04-14,1,orioles
16,Apr 15,True,MIN,"W,7-4",39,36,7,12,1,0,3,7,1,0,8,1,0,1,0,0,0,0,0.25,0.306,0.441,0.746,8,9,R,L.Varland(31),2024-04-15,1,orioles
17,Apr 16,True,MIN,"W,11-3",42,39,11,15,2,0,3,11,2,0,6,1,0,0,0,0,1,0,0.259,0.313,0.455,0.769,7,11,R,C.Paddack(9),2024-04-16,1,orioles
18,Apr 17,True,MIN,"W,4-2",33,33,4,8,0,0,3,4,0,0,12,0,0,0,0,0,1,0,0.258,0.31,0.459,0.769,4,10,R,P.López(71),2024-04-17,1,orioles
19,Apr 19,False,KCR,"L,4-9",39,34,4,8,1,0,1,4,3,0,8,2,0,0,0,0,0,0,0.257,0.311,0.453,0.764,8,11,R,A.Marsh(67),2024-04-19,1,orioles
20,Apr 20,False,KCR,"W,9-7",45,42,9,15,6,0,0,8,3,0,9,0,0,0,0,0,1,0,0.263,0.316,0.456,0.772,9,11,L,C.Ragans(13),2024-04-20,1,orioles
21,Apr 21,False,KCR,"W,5-0",40,37,5,11,2,2,2,5,3,0,4,0,0,0,0,0,1,1,0.265,0.318,0.464,0.782,8,10,R,S.Lugo(34),2024-04-21,1,orioles
22,Apr 22,False,LAA,"W,4-2",36,32,4,6,1,1,2,4,4,0,6,0,0,0,0,1,4,0,0.261,0.316,0.464,0.781,5,9,L,R.Detmers(50),2024-04-22,1,orioles
23,Apr 23,False,LAA,"L,4-7",38,34,4,8,1,0,1,4,3,0,11,0,0,1,0,0,0,0,0.26,0.315,0.46,0.775,7,10,R,G.Canning(47),2024-04-23,1,orioles
24,Apr 24,False,LAA,"W,6-5",44,34,6,9,3,0,1,5,7,0,9,3,0,0,0,2,1,0,0.26,0.321,0.459,0.78,11,9,L,T.Anderson(54),2024-04-24,1,orioles
25,Apr 26,True,OAK,"L,2-3",37,36,2,6,1,0,1,2,1,0,7,0,0,0,0,0,0,0,0.257,0.316,0.452,0.767,6,11,R,R.Stripling(52),2024-04-26,1,orioles
26,Apr 27,True,OAK,"W,7-0",34,33,7,9,1,0,3,7,1,0,9,0,0,0,0,0,2,0,0.257,0.315,0.456,0.771,3,9,L,J.Sears(36),2024-04-27,1,orioles
27,Apr 28,True,OAK,"L,6-7",38,36,6,9,1,0,3,6,2,0,12,0,0,0,0,0,2,0,0.257,0.314,0.459,0.773,5,10,R,P.Blackburn(28),2024-04-28,1,orioles
28,Apr 29,True,NYY,"W,2-0",32,28,2,4,0,0,1,1,3,0,6,1,0,0,1,0,0,1,0.254,0.312,0.453,0.765,6,9,R,C.Schmidt(61),2024-04-29,1,orioles
29,Apr 30,True,NYY,"W,4-2",35,33,4,9,3,0,0,3,2,0,8,0,0,0,0,0,0,1,0.254,0.312,0.45,0.762,7,9,L,N.Cortés(43),2024-04-30,1,orioles
30,May 1,True,NYY,"L,0-2",33,30,0,3,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0.25,0.308,0.44,0.748,6,11,R,L.Gil(73),2024-05-01,1,orioles
31,May 2,True,NYY,"W,7-2",35,31,7,8,1,1,3,7,0,0,9,3,0,1,0,1,0,0,0.25,0.309,0.446,0.754,4,10,L,C.Rodón(26),2024-05-02,1,orioles
32,May 3,False,CIN,"W,3-0",40,35,3,9,2,0,1,3,5,0,8,0,0,0,0,0,2,0,0.25,0.31,0.444,0.754,10,10,R,H.Greene(60),2024-05-03,1,orioles
33,May 4,False,CIN,"W,2-1",35,34,2,7,1,0,2,2,1,0,13,0,0,0,0,0,0,0,0.249,0.308,0.443,0.751,6,10,L,A.Abbott(53),2024-05-04,1,orioles
34,May 5,False,CIN,"W,11-1",41,35,11,11,4,0,3,11,5,0,10,1,0,0,0,0,0,2,0.251,0.311,0.451,0.762,3,9,L,N.Lodolo(47),2024-05-05,1,orioles
35,May 7,False,WSN,"L,0-3",31,31,0,3,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0.247,0.306,0.441,0.747,4,11,R,T.Williams(71),2024-05-07,1,orioles
36,May 8,False,WSN,"W,7-6",45,40,7,10,2,0,3,6,2,0,11,1,1,1,0,2,0,1,0.247,0.306,0.444,0.75,5,14,L,M.Parker(53),2024-05-08,1,orioles
